"Distance [mm]"	"Bt []"
182.273508	-0.0371492996428192
182.4882	-0.0325703590747508
182.702892	-0.0301854183992339
182.917584	-0.0308658140242325
183.132276	-0.0255027967070999
183.346968	-0.0201176763828389
183.56166	-0.0189624136857175
183.776352	-0.019954817834419
183.991044	-0.0201639792427377
184.205736	-0.0203920831960052
184.420428	-0.0388145730093161
184.63512	-0.0571688440469161
184.849812	-0.109743501637498
185.064504	-0.236579647597019
185.279196	-0.195516601661836
185.493888	-0.153261717712364
185.70858	-0.0886912262870467
185.923272	-0.0335739984753117
186.137964	0.0205012580787527
186.352656	0.0660824714609782
186.567348	0.12472208814318
186.78204	0.193408497579534
186.996732	0.25110007622497
187.211424	0.197065975227258
187.426116	0.109749692429782
187.640808	0.0842852252414029
187.8555	0.0569203813001627
188.070192	0.0485381845780426
188.284884	0.039329596117653
188.499576	0.0384227329010733
188.714268	0.0379274113339894
188.92896	0.0468997620709271
189.143652	0.05490426359973
189.358344	0.0685269875653342
189.573036	0.0798016909917028
189.787728	0.0959213689536981
190.00242	0.116328659741973
190.217112	0.130322003689372
190.431804	0.141569928230029
190.646496	0.170283791231669
190.861188	0.20745055474328
191.07588	0.26456911846558
191.290572	0.31551751473693
191.505264	0.30913504775289
191.719956	0.292934655283589
191.934648	0.339127989400562
192.14934	0.329525096042276
192.364032	0.294851099730251
192.578724	0.228429494243762
192.793416	0.176093337982853
193.008108	0.141129227528132
193.2228	0.107376906166652
193.437492	0.0852847151898514
193.652184	0.0623302889433486
193.866876	0.0574848073012469
194.081568	0.0493316731351132
194.29626	0.0408641586643699
194.510952	0.0325951149399827
194.725644	0.0302241257460112
194.940336	0.029819135280204
195.155028	0.0308781969553218
195.36972	0.0319697078752244
195.584412	0.0339692718269715
195.799104	0.0412725386536931
196.013796	0.0472535534103823
196.228488	0.0478286392872712
196.44318	0.0492714320075635
196.657872	0.0423495244519973
196.872564	0.0346976414456658
197.087256	0.031195605417089
197.301948	0.028650063230924
197.51664	0.0249417592125592
197.731332	0.0208314421567604
197.946024	0.019119493112732
198.160716	0.0175087196454344
198.375408	0.02463924620108
198.5901	0.0299219942342577
198.804792	0.0523542756401756
199.019484	0.00920948013413114
199.234176	0.126990575199842
199.448868	0.23825496387213
199.66356	0.189183130587263
199.878252	0.135579918998143
200.092944	0.0790290689511147
200.307636	0.0242436213142025
200.522328	-0.022668438706079
200.73702	-0.0641170933099214
200.951712	-0.114289867363202
201.166404	-0.191997659091569
201.381096	-0.249161657029706
201.595788	-0.184185559569189
201.81048	-0.109424373020359
202.025172	-0.0881574605928372
202.239864	-0.0671575629235803
202.454556	-0.0464266351956229
202.669248	-0.0274804192966138
202.88394	-0.028532582739589
203.098632	-0.0300963367299955
203.313324	-0.0356837449377947
203.528016	-0.0414175946849365
203.742708	-0.0491507620685269
203.9574	-0.0565848896130596
204.172092	-0.062077306118043
204.386784	-0.0666818455784436
204.601476	-0.0717445934461393
204.816168	-0.0743176992828257
205.03086	-0.0829158925510967
205.245552	-0.099588868558505
205.460244	-0.115648514815063
205.674936	-0.124406693953742
205.889628	-0.146903190809265
206.10432	-0.209237840313219
206.319012	-0.297581232644972
206.533704	-0.321187361209009
206.748396	-0.325909528791474
206.963088	-0.305467359966162
207.17778	-0.299551462036928
207.392472	-0.31333812852941
207.607164	-0.329805233427358
207.821856	-0.221736038559346
208.036548	-0.127008908276758
208.25124	-0.137353340872481
208.465932	-0.115012891042397
208.680624	-0.0967280835871203
208.895316	-0.0774063459808385
209.110008	-0.0662781550710108
209.3247	-0.0568575316281414
209.539392	-0.0486285448455361
209.754084	-0.0421869190198138
209.968776	-0.0461712617895806
210.183468	-0.0514830122948616
210.39816	-0.0548311014804495
210.612852	-0.0526576642556593
210.827544	-0.0503486263267654
211.042236	-0.047660859507638
211.256928	-0.04394359270042
